Security Domain,Control ID,Control Description,Capabilities Exist,Tools/Capabilities
Audit and Accountability,AU-6(1),"Audit Record Review, Analysis, and Reporting - Automated analysis and correlation of audit records",Y,Splunk
Audit and Accountability,AU-6(3),"Audit Record Review, Analysis, and Reporting - Correlate audit record repositories",Y,Splunk
Audit and Accountability,AU-7(1),Audit Record Reduction and Reporting,Y,Splunk
Audit and Accountability,AU-9,Protection of Audit Information (access/modification/deletion),Y,Splunk
Audit and Accountability,AU-9,Alerting unauthorized actions on audit logs,Y,Splunk
Audit and Accountability,CA-7,Continuous Monitoring,Y,"Splunk, CrowdStrike, Prisma Cloud"
Configuration Management,CM-2,Baseline Configuration Management,Process Related,Manual documentation and review
Configuration Management,CM-2(2),Automated Baseline Configuration Verification,N,"No Tools in Place - Recommend Ansible, Puppet, Chef"
Configuration Management,CM-3,Configuration Change Control,Y,"AlgoSec, Palo Alto Networks"
Configuration Management,CM-7,Least Functionality (System Hardening),Process Related,Manual system hardening procedures
Configuration Management,CM-8,System Component Inventory Management,N,No Tools in Place - Recommend ServiceNow CMDB or Axonius
Configuration Management,CM-8(3),Unauthorized Component Detection,N,"No Tools in Place - Recommend Tanium, Qualys"
Contingency Planning,CP-6,Alternate Storage Site,Y,"AWS Direct Connect, AWS S3, AWS Glacier"
Contingency Planning,CP-9,System Backup Procedures,Y,AWS native backup services
Identity and Access Management,IA-2(1),Multi-factor Authentication (Privileged Accounts),Y,"RSA, Ping, AD"
Identity and Access Management,IA-2(2),Multi-factor Authentication (Non-Privileged Accounts),Y,"RSA, Ping, AD"
Identity and Access Management,IA-5(1),Authenticator Management,Process Related,Manual password policies enforcement
Incident Response,IR-4(1),Incident Handling Automation,Y,"LogicHub SOAR, Splunk"
System and Services Acquisition,SA-3,System Development Life Cycle (SDLC) Security Integration,Process Related,Integrated via security documentation and manual reviews
System and Communications Protection,SC-5,Denial-of-Service Protection,Y,"Prolexic Akamai, Palo Alto Networks"
System and Communications Protection,SC-7,Boundary Protection,Y,"AWS Security Groups, Palo Alto Networks Firewall"
System and Communications Protection,SC-7(4),External Communications Interface Management,Y,"AWS Direct Connect, Palo Alto Networks"
System and Communications Protection,SC-8,Transmission Confidentiality and Integrity,Y,"TLS, Palo Alto Networks"
System and Information Integrity,SI-2,Flaw Remediation,Y,"CrowdStrike, Tenable Nessus"
System and Information Integrity,SI-4,System Monitoring,Y,"Splunk, CrowdStrike, Palo Alto Networks"
System and Information Integrity,SI-4(4),Inbound and Outbound Communications Monitoring,Y,"Splunk, Palo Alto Networks"
System and Information Integrity,SI-7(1),"Integrity of Software, Firmware, and Information",Y,Tripwire
System and Information Integrity,SI-12,Information Management and Retention,Process Related,Manual adherence to retention policies
System and Information Integrity,SI-4(5),System-Generated Alerting,Y,"Splunk, CrowdStrike"
